the_geom,station_id,suburb,cardinal_direction_name,classification_type,road_name,period,traffic_count,wgs84_latitude,wgs84_longitude,year
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,Sydney,NORTH,UNCLASSIFIED,Sydney Harbour Tunnel,ALL DAYS,47268,-33.860836,151.213791,2017
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,Sydney,SOUTH,UNCLASSIFIED,Sydney Harbour Tunnel,ALL DAYS,41895,-33.860836,151.213791,2017
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,Sydney Harbour Tunnel,ALL DAYS,89163,-33.860836,151.213791,2017
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,Sydney,NORTH,UNCLASSIFIED,Sydney Harbour Tunnel,AM PEAK,12633,-33.860836,151.213791,2017
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,Sydney,SOUTH,UNCLASSIFIED,Sydney Harbour Tunnel,AM PEAK,12365,-33.860836,151.213791,2017
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,Sydney Harbour Tunnel,AM PEAK,24998,-33.860836,151.213791,2017
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,Sydney,NORTH,UNCLASSIFIED,Sydney Harbour Tunnel,OFF PEAK,23175,-33.860836,151.213791,2017
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,Sydney,SOUTH,UNCLASSIFIED,Sydney Harbour Tunnel,OFF PEAK,20400,-33.860836,151.213791,2017
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,Sydney Harbour Tunnel,OFF PEAK,43575,-33.860836,151.213791,2017
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,Sydney,NORTH,UNCLASSIFIED,Sydney Harbour Tunnel,PM PEAK,13386,-33.860836,151.213791,2017
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,Sydney,SOUTH,UNCLASSIFIED,Sydney Harbour Tunnel,PM PEAK,9981,-33.860836,151.213791,2017
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,Sydney Harbour Tunnel,PM PEAK,23367,-33.860836,151.213791,2017
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,Sydney,NORTH,UNCLASSIFIED,Sydney Harbour Tunnel,PUBLIC HOLIDAYS,32779,-33.860836,151.213791,2017
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,Sydney,SOUTH,UNCLASSIFIED,Sydney Harbour Tunnel,PUBLIC HOLIDAYS,31896,-33.860836,151.213791,2017
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,Sydney Harbour Tunnel,PUBLIC HOLIDAYS,64675,-33.860836,151.213791,2017
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,Sydney,NORTH,UNCLASSIFIED,Sydney Harbour Tunnel,WEEKDAYS,49194,-33.860836,151.213791,2017
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,Sydney,SOUTH,UNCLASSIFIED,Sydney Harbour Tunnel,WEEKDAYS,42746,-33.860836,151.213791,2017
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,Sydney Harbour Tunnel,WEEKDAYS,91940,-33.860836,151.213791,2017
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,Sydney,NORTH,UNCLASSIFIED,Sydney Harbour Tunnel,WEEKENDS,41800,-33.860836,151.213791,2017
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,Sydney,SOUTH,UNCLASSIFIED,Sydney Harbour Tunnel,WEEKENDS,39922,-33.860836,151.213791,2017
0101000020E6100000BB253960D7E66240179CC1DF2FEE40C0,01003,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,Sydney Harbour Tunnel,WEEKENDS,81722,-33.860836,151.213791,2017
0101000020E6100000EA5DBC1FB7E66240982F2FC03EEE40C0,01011,Sydney,SOUTH,UNCLASSIFIED,Cahill Expressway,ALL DAYS,21440,-33.861290,151.209854,2017
0101000020E6100000EA5DBC1FB7E66240982F2FC03EEE40C0,01011,Sydney,SOUTH,UNCLASSIFIED,Cahill Expressway,AM PEAK,6713,-33.861290,151.209854,2017
0101000020E6100000EA5DBC1FB7E66240982F2FC03EEE40C0,01011,Sydney,SOUTH,UNCLASSIFIED,Cahill Expressway,OFF PEAK,9735,-33.861290,151.209854,2017
0101000020E6100000EA5DBC1FB7E66240982F2FC03EEE40C0,01011,Sydney,SOUTH,UNCLASSIFIED,Cahill Expressway,PM PEAK,6312,-33.861290,151.209854,2017
0101000020E6100000EA5DBC1FB7E66240982F2FC03EEE40C0,01011,Sydney,SOUTH,UNCLASSIFIED,Cahill Expressway,PUBLIC HOLIDAYS,12543,-33.861290,151.209854,2017
0101000020E6100000EA5DBC1FB7E66240982F2FC03EEE40C0,01011,Sydney,SOUTH,UNCLASSIFIED,Cahill Expressway,WEEKDAYS,22760,-33.861290,151.209854,2017
0101000020E6100000EA5DBC1FB7E66240982F2FC03EEE40C0,01011,Sydney,SOUTH,UNCLASSIFIED,Cahill Expressway,WEEKENDS,17590,-33.861290,151.209854,2017
